ds,ts,max_temp,min_temp
2019-06-14,8368.469583333330,20.4,10.5
2019-06-15,8047.323333333330,18.8,8.3
2019-06-16,8206.898333333330,16.0,11.9
2019-06-17,8823.052083333330,15.7,11.6
2019-06-18,8718.085625000000,19.0,11.2
2019-06-19,8877.782708333330,15.8,8.4
2019-06-20,9436.346041666670,15.9,5.9
2019-06-21,9521.077916666670,14.9,7.3
2019-06-22,9129.189166666670,14.5,6.2
2019-06-23,8922.802708333340,15.0,6.9
2019-06-24,9450.488958333330,16.4,10.1
2019-06-25,9176.110625,17.9,12.2
2019-06-26,8971.119375,17.6,12.6
2019-06-27,8848.237708333330,18.7,10.7
2019-06-28,8634.058541666660,21.6,11.0
2019-06-29,8028.572916666670,21.4,8.6
2019-06-30,7799.4352083333300,19.1,10.6
2019-07-01,9036.876041666670,18.9,7.6
2019-07-02,9068.512083333340,21.7,7.3
2019-07-03,9100.860416666670,18.8,7.4
2019-07-04,8892.432500000000,18.4,12.8
2019-07-05,8701.285833333330,18.4,13.4
2019-07-06,8018.945625000000,20.2,10.8
2019-07-07,7879.879166666670,20.1,11.3
2019-07-08,8515.806875,21.6,11.4
2019-07-09,8668.648125000000,18.8,10.1
2019-07-10,8872.203541666670,18.6,7.5
2019-07-11,8703.015833333330,21.1,9.9
2019-07-12,8510.931875000000,21.2,10.9
2019-07-13,8241.474375,16.2,11.3
2019-07-14,8390.102916666670,17.9,6.6
2019-07-15,8834.033333333330,18.1,9.1
2019-07-16,8896.82208333333,21.6,8.5
2019-07-17,8673.696041666670,20.8,9.3
2019-07-18,8654.789375,20.0,10.7
2019-07-19,8759.939583333330,19.5,6.7
2019-07-20,8181.152083333330,20.9,7.2
2019-07-21,7711.1518750000000,24.6,6.4
2019-07-22,8379.372916666670,23.9,11.5
2019-07-23,8260.644583333340,24.2,9.4
2019-07-24,8374.065833333330,20.7,10.5
2019-07-25,8776.686875000000,20.3,8.2
2019-07-26,8875.915208333330,19.6,7.8
2019-07-27,8053.996666666670,18.4,10.7
2019-07-28,7937.750416666670,19.4,8.7
2019-07-29,8762.643125000000,20.8,8.1
2019-07-30,8927.827500000000,15.1,11.0
2019-07-31,8950.288125000000,15.8,8.1
2019-08-01,8706.87833333333,20.1,10.0
2019-08-02,8724.386875,17.4,9.7
2019-08-03,8075.148541666670,21.4,8.3
2019-08-04,7996.078333333330,17.8,8.1
2019-08-05,8478.542916666660,21.2,9.7
2019-08-06,8647.489375,20.4,7.2
2019-08-07,8550.828333333330,23.5,6.8
2019-08-08,8588.163333333330,21.5,8.5
2019-08-09,8629.126666666670,18.3,13.5
2019-08-10,8524.990833333330,16.0,9.2
2019-08-11,8562.637500000000,16.5,7.6
